risk,zip,latitude,longitude,facility_type,dba_name,address,neighborhood
Risk 1 (High),60617.0,41.7055064825,-87.5351394532,restaurant,3 abejas,10429 s ewing ave ,East Side
Risk 1 (High),60608.0,41.8517996007,-87.694904128,restaurant,3 abejas,2747 w cermak rd ,Little Village
Risk 2 (Medium),60617.0,41.7028455434,-87.5358455942,restaurant,3 abejas,3614 e 106th st ,East Side
Risk 3 (Low),60608.0,41.8517996007,-87.694904128,other,3 abejas corp.,2747 w cermak rd ,Little Village
Risk 2 (Medium),60651.0,41.898429331,-87.7609111955,other,"3 brothers food market, inc",5401 w augusta blvd ,Austin
Risk 1 (High),60631.0,41.9810631971,-87.8456744159,restaurant,"3 chefs catering, inc.",8750 w bryn mawr ave ,O'Hare
Risk 1 (High),60654.0,41.8900449575,-87.6376280638,restaurant,3 greens market,354 w hubbard st ,River North
Risk 1 (High),60628.0,41.7072122002,-87.613366812,restaurant,3 jjj's better taste jamaican jerk restaurant,409 e 103rd st ,Roseland
Risk 1 (High),60618.0,41.961370945,-87.6966693474,restaurant,3 r's oriental food mart,2712-14 w montrose ave ,Albany Park
Risk 3 (Low),60618.0,41.961370945,-87.6966693474,other,3 r's oriental food mart,2712-2714 w montrose ave ,Albany Park
Risk 3 (Low),60614.0,41.9259379218,-87.649664585,other,3-penny cinema,2424-2426 n lincoln ave ,Sheffield & DePaul
Risk 2 (Medium),60601.0,41.8846237846,-87.6204760444,grocery store,300 concession shop inc.,300 e randolph st ,Loop
Risk 3 (Low),60654.0,41.8875286397,-87.6326468365,grocery store,300 convenience,300 n la salle st ste 110,River North
Risk 3 (Low),60623.0,41.8370215611,-87.7302855262,grocery store,"31 food & dollar, inc.",3055 s tripp ave ,Little Village
Risk 1 (High),60601.0,41.8841673843,-87.6222500417,other,312 beer garden,201 e randolph st ,Millenium Park
Risk 1 (High),60602.0,41.8841586356,-87.6325771983,restaurant,312 chicago,136 n la salle st ,Loop
Risk 3 (Low),60641.0,41.937696626,-87.7466965032,other,3123 club,3123 n cicero ave ,Belmont Cragin
Risk 3 (Low),60608.0,41.8379789285,-87.6591393661,grocery store,31st food mart,1314 w 31st st ,Bridgeport
Risk 1 (High),60610.0,41.9082464193,-87.6344738282,restaurant,33 club,1419 n wells st ,Old Town
Risk 3 (Low),60624.0,41.8734904723,-87.7130977357,grocery store,3400 food & liquor,3459 w harrison st ,Garfield Park
Risk 1 (High),60659.0,41.9828976826,-87.7138001751,other,3401 y.d. inc,3401 w bryn mawr ave ,North Park
